Week,Trades,Weekly PnL ($),Cumulative Capital ($)
2022-09-19,1,+958.34,"10,958.34"
2022-09-26,1,+0.33,"10,958.67"
2022-10-03,2,-274.26,"10,684.40"
2022-10-10,4,+1426.06,"12,110.46"
2022-10-17,3,-309.80,"11,800.66"
2022-10-24,12,-967.56,"10,833.10"
2022-10-31,10,+1290.18,"12,123.28"
2022-11-07,1,+568.33,"12,691.61"
2022-11-14,3,-18.28,"12,673.33"
2022-11-21,3,-95.50,"12,577.83"
2022-11-28,0,+0.00,"12,577.83"
2022-12-05,2,+2011.41,"14,589.24"
2022-12-12,1,-531.90,"14,057.34"
2022-12-19,2,+136.69,"14,194.03"
2022-12-26,0,+0.00,"14,194.03"
2023-01-02,0,+0.00,"14,194.03"
2023-01-09,1,-28.08,"14,165.94"
2023-01-16,0,+0.00,"14,165.94"
2023-01-23,0,+0.00,"14,165.94"
2023-01-30,1,+98.85,"14,264.79"
2023-02-06,0,+0.00,"14,264.79"
2023-02-13,1,+624.60,"14,889.39"
2023-02-20,1,-394.64,"14,494.75"
2023-02-27,1,-365.39,"14,129.36"
2023-03-06,0,+0.00,"14,129.36"
2023-03-13,1,+59.23,"14,188.59"
2023-03-20,0,+0.00,"14,188.59"
2023-03-27,0,+0.00,"14,188.59"
2023-04-03,0,+0.00,"14,188.59"
2023-04-10,0,+0.00,"14,188.59"
2023-04-17,3,+218.94,"14,407.52"
2023-04-24,0,+0.00,"14,407.52"
2023-05-01,0,+0.00,"14,407.52"
2023-05-08,0,+0.00,"14,407.52"
2023-05-15,0,+0.00,"14,407.52"
2023-05-22,0,+0.00,"14,407.52"
2023-05-29,2,-268.42,"14,139.10"
2023-06-05,0,+0.00,"14,139.10"
2023-06-12,0,+0.00,"14,139.10"
2023-06-19,0,+0.00,"14,139.10"
2023-06-26,0,+0.00,"14,139.10"
2023-07-03,0,+0.00,"14,139.10"
2023-07-10,0,+0.00,"14,139.10"
2023-07-17,0,+0.00,"14,139.10"
2023-07-24,0,+0.00,"14,139.10"
2023-07-31,0,+0.00,"14,139.10"
2023-08-07,0,+0.00,"14,139.10"
2023-08-14,0,+0.00,"14,139.10"
2023-08-21,0,+0.00,"14,139.10"
2023-08-28,0,+0.00,"14,139.10"
2023-09-04,0,+0.00,"14,139.10"
2023-09-11,0,+0.00,"14,139.10"
2023-09-18,0,+0.00,"14,139.10"
2023-09-25,0,+0.00,"14,139.10"
2023-10-02,0,+0.00,"14,139.10"
2023-10-09,0,+0.00,"14,139.10"
2023-10-16,0,+0.00,"14,139.10"
2023-10-23,0,+0.00,"14,139.10"
2023-10-30,0,+0.00,"14,139.10"
2023-11-06,0,+0.00,"14,139.10"
2023-11-13,1,+49.36,"14,188.47"
2023-11-20,0,+0.00,"14,188.47"
2023-11-27,0,+0.00,"14,188.47"
2023-12-04,0,+0.00,"14,188.47"
2023-12-11,0,+0.00,"14,188.47"
2023-12-18,0,+0.00,"14,188.47"
2023-12-25,0,+0.00,"14,188.47"
2024-01-01,1,+42.12,"14,230.59"
